Depth, cm;Alnus;Betula;Corylus avellana;Juniperus communis;Picea;Pinus sylvestris;Quercus;Salix undiff.;Calluna vulgaris;Empetrum nigrum;Angelica-type;Apiaceae undiff.;Artemisisa;Compositae (Cichorioideae);Cyperaceae undiff.;Filipendula;Geranium sylvaticum-type;Poaceae;Ranunculus acris-type;Rumex acetosa-type;Solidago-type;Dryopteris-type
2;5;28;3;3;1;65;0;4;1;0;0;1;0;5;6;2;1;37;7;13;5;304
4;5;77;1;14;3;84;4;9;0;0;1;1;0;6;17;4;1;68;4;15;7;317
8;9;73;1;20;2;87;1;18;4;0;1;2;2;18;11;12;4;80;29;32;5;1214
12;8;59;1;16;1;79;4;23;2;0;3;2;0;15;8;12;4;55;12;24;10;834
16;17;64;1;14;2;77;1;18;1;0;1;4;0;26;6;7;4;110;31;54;12;2036
20;8;55;3;6;0;64;3;29;3;0;3;11;5;23;7;6;2;100;36;37;17;2096
24;5;53;2;12;0;59;1;29;0;1;4;7;2;19;9;4;4;129;39;64;15;1731
28;16;63;3;4;2;73;2;24;2;0;2;12;1;38;2;7;3;114;36;51;19;2335
32;8;57;5;5;4;76;0;21;3;0;2;4;1;19;11;1;4;88;19;37;18;1090
36;8;44;1;3;2;42;2;23;0;0;5;5;2;27;0;8;4;110;43;51;16;1994
38;15;48;2;10;3;56;1;15;0;0;7;5;2;21;7;14;4;98;35;59;9;1435
42;15;63;2;3;0;39;3;25;0;0;5;8;1;32;8;4;7;116;40;54;15;1669
50;27;83;1;8;1;59;1;15;2;0;8;6;0;28;4;7;3;112;35;65;16;986
58;9;172;1;6;1;70;7;11;1;0;5;1;3;13;11;12;1;52;10;16;5;396
66;16;118;4;8;2;96;1;8;0;0;6;5;1;11;10;6;1;58;16;29;9;1233
74;13;81;1;6;1;105;4;8;2;0;2;3;0;14;8;12;3;74;18;38;6;1436
82;21;122;3;12;0;118;8;20;0;0;4;4;2;17;6;16;3;51;15;28;4;710
90;18;212;2;7;0;89;7;6;3;0;2;4;2;14;6;9;1;45;13;15;4;486
98;19;157;2;2;0;77;0;14;1;0;5;9;2;23;13;9;3;43;20;29;5;909
108;15;149;4;12;0;94;5;8;2;0;3;5;2;18;5;13;2;47;11;23;3;574
116;16;146;3;6;0;104;3;8;2;0;1;9;0;31;8;15;1;50;14;20;3;654
124;22;150;2;6;0;110;11;12;4;0;3;2;0;7;10;11;1;46;3;7;4;286
132;18;148;1;7;0;105;9;11;1;0;2;3;1;9;9;13;1;29;7;13;3;279
140;36;161;1;6;0;106;16;11;0;0;5;2;1;6;9;15;1;28;5;9;4;280
148;28;263;7;6;0;100;8;5;2;0;7;2;0;8;3;11;1;27;3;11;5;147
156;25;189;2;6;0;122;17;7;2;0;4;3;1;12;8;12;0;26;7;16;1;329
164;43;157;6;2;0;131;13;7;0;0;4;6;1;30;19;39;2;24;13;27;3;721
172;41;166;8;10;0;115;7;5;0;0;6;0;0;10;11;24;0;26;4;6;0;257
180;54;158;7;6;0;61;6;5;2;0;3;5;0;13;14;24;1;30;2;11;1;287
188;52;162;4;6;0;100;9;6;2;0;5;1;0;3;8;16;0;20;2;7;1;242
192;111;303;8;6;0;110;13;10;1;0;9;1;0;18;12;23;1;34;4;18;2;188
196;58;188;6;1;0;99;8;7;1;0;2;1;0;9;6;13;1;23;3;7;0;352
200;81;223;4;1;0;141;1;4;1;0;2;0;0;4;1;8;0;36;0;1;6;173
208;67;234;5;10;0;98;8;3;1;0;20;4;0;17;5;29;1;30;2;17;1;320
212;63;209;3;4;0;76;6;4;2;0;10;1;0;13;6;17;1;19;1;10;1;230
216;82;212;10;9;0;46;3;1;0;0;9;1;1;17;9;18;0;7;1;13;0;178
220;63;231;7;9;0;70;5;2;1;0;12;3;0;10;7;15;0;20;1;15;0;191
224;95;231;8;8;0;66;3;3;2;0;3;1;0;9;4;9;0;15;1;7;1;149
232;115;204;6;4;0;87;1;2;0;0;4;1;0;4;6;9;1;23;2;5;1;88
240;137;265;7;14;0;139;2;4;0;0;2;1;4;1;3;20;1;37;0;10;0;101
244;94;323;2;21;0;133;2;12;1;0;3;1;0;1;3;14;0;42;2;6;1;103
248;31;305;3;25;0;164;0;4;0;0;0;0;0;0;7;11;0;31;1;1;0;91
256;3;189;19;9;0;212;1;13;0;0;1;1;0;0;4;14;0;19;1;5;0;118
260;0;206;20;17;0;116;0;12;0;0;0;0;0;3;5;3;0;34;0;5;1;150
264;1;252;8;26;0;129;0;16;1;0;1;1;0;3;11;0;0;22;0;1;0;122
268;0;253;2;25;0;48;2;9;0;0;0;0;0;0;5;0;0;21;0;3;0;46
